"Date","Deaths"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","0"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","1"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","0"
"2,020-03-09","0"
"2,020-03-10","0"
"2,020-03-11","1"
"2,020-03-12","0"
"2,020-03-13","0"
"2,020-03-14","0"
"2,020-03-15","0"
"2,020-03-16","0"
"2,020-03-17","0"
"2,020-03-18","1"
"2,020-03-19","0"
"2,020-03-20","0"
"2,020-03-21","1"
"2,020-03-22","2"
"2,020-03-23","2"
"2,020-03-24","5"
"2,020-03-25","4"
"2,020-03-26","3"
"2,020-03-27","4"
"2,020-03-28","8"
"2,020-03-29","14"
"2,020-03-30","18"
"2,020-03-31","15"
"2,020-04-01","16"
"2,020-04-02","25"
"2,020-04-03","23"
"2,020-04-04","28"
"2,020-04-05","30"
"2,020-04-06","29"
"2,020-04-07","29"
"2,020-04-08","37"
"2,020-04-09","40"
"2,020-04-10","34"
"2,020-04-11","40"
"2,020-04-12","43"
"2,020-04-13","43"
"2,020-04-14","40"
"2,020-04-15","55"
"2,020-04-16","50"
"2,020-04-17","49"
"2,020-04-18","47"
"2,020-04-19","77"
"2,020-04-20","48"
"2,020-04-21","53"
"2,020-04-22","55"
"2,020-04-23","47"
"2,020-04-24","57"
"2,020-04-25","54"
"2,020-04-26","54"
"2,020-04-27","54"
"2,020-04-28","43"
"2,020-04-29","57"
"2,020-04-30","52"
"2,020-05-01","57"
"2,020-05-02","61"
"2,020-05-03","58"
"2,020-05-04","49"
"2,020-05-05","34"
"2,020-05-06","37"
"2,020-05-07","39"
"2,020-05-08","34"
"2,020-05-09","34"
"2,020-05-10","39"
"2,020-05-11","31"
"2,020-05-12","28"
"2,020-05-13","24"
"2,020-05-14","24"
"2,020-05-15","22"
"2,020-05-16","22"
"2,020-05-17","11"
"2,020-05-18","27"
"2,020-05-19","19"
"2,020-05-20","20"
"2,020-05-21","26"
"2,020-05-22","11"
"2,020-05-23","16"
"2,020-05-24","7"
"2,020-05-25","1"
